Date of Sale (dd/mm/yyyy),Address,Postal Code,County,Price (€),Not Full Market Price,VAT Exclusive,Description of Property,Property Size Description
"06/01/2015","127 THORNFIELD SQUARE, WATERY LANE, CLONDALKIN","","Dublin","€90,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"06/01/2015","13 CROFTWOOD GARDENS CHERRY ORCHARD, DUBLIN 10, DUBLIN","Dublin 10","Dublin","€20,000.00","Yes","No","Second-Hand Dwelling house /Apartment",""
"06/01/2015","13 KILLELINE HEIGHTS, NEWCASTLE WEST, LIMERICK","","Limerick","€90,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"06/01/2015","146 GLEANN NA RI, VALLEY AVE, DRUID VALLEY DUBLIN 18","Dublin 18","Dublin","€212,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"06/01/2015","15 VILLAGE SQUARE, GLASLOUGH, CO MONAGHAN","","Monaghan","€120,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"06/01/2015","158 Castlemoyne, Balgriffin","Dublin 13","Dublin","€462,555.00","No","Yes","New Dwelling house /Apartment","greater than 125 sq metres"
"06/01/2015","16 clashlehane, ballinorig, tralee","","Kerry","€134,801.76","No","Yes","New Dwelling house /Apartment","greater than 125 sq metres"
"06/01/2015","16 Sli Leag Ard, Miltown Malbay","","Clare","€36,000.00","No","Yes","New Dwelling house /Apartment","greater than or equal to 38 sq metres and less than 125 sq metres"
"06/01/2015","16 THE CONIFERS, CASTLETROY, LIMERICK","","Limerick","€130,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"06/01/2015","17 Sli Leag Ard, Miltown Malbay","","Clare","€36,000.00","No","Yes","New Dwelling house /Apartment","greater than or equal to 38 sq metres and less than 125 sq metres"
"06/01/2015","180  St. Margarets Road, Hampton Wood","Dublin 11","Dublin","€160,352.43","No","Yes","New Dwelling house /Apartment","greater than or equal to 38 sq metres and less than 125 sq metres"
"06/01/2015","2 ABBEY STREET, ARKLOW, CO. WICKLOW","","Wicklow","€50,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"06/01/2015","2 BALLYBANE NEIGHBOURHOOD VILLAGE, CASTLEPARK RD, BALLYBANE","","Galway","€75,500.00","No","No","Second-Hand Dwelling house /Apartment",""
"06/01/2015","2 CHALFONT PARK, MALAHIDE, DUBLIN","","Dublin","€695,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"06/01/2015","2 ISLAND RD, ENNISCORTHY, WEXFORD","","Wexford","€35,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"06/01/2015","2 PIG LANE, TININAIRE, EDGEWORTHSTOWN","","Longford","€108,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"06/01/2015","20 MOUNT GARRETT AVE, TYRELLSTOWN, DUBLIN 15","Dublin 15","Dublin","€210,000.00","Yes","No","Second-Hand Dwelling house /Apartment",""
"06/01/2015","20 PROSPECT GROVE, PROSPECT MANOR, RATHFARNHAM DUBLIN 16","Dublin 16","Dublin","€450,500.00","No","No","Second-Hand Dwelling house /Apartment",""
"06/01/2015","209 LARCHVILLE, WATERFORD CITY, WATERFORD","","Waterford","€67,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"06/01/2015","21 AUBURN HOUSE, RATHMINES PARK, DUBLIN 6","Dublin 6","Dublin","€290,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"06/01/2015","22 OLDTOWN, CAVAN","","Cavan","€65,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"06/01/2015","23 BEACHSIDE AVE, RIVERCHAPEL, WEXFORD","","Wexford","€95,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"06/01/2015","233 PACE RD, LITTLE PACE PADDOCKS, CLONEE DUBLIN 15","Dublin 15","Dublin","€255,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"06/01/2015","24 GRANGE PARK CRESCENT, RAHENY, DUBLIN","Dublin 5","Dublin","€310,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"06/01/2015","26 DODDER VIEW COTTAGES, BALLSBRIDGE, DUBLIN","Dublin 4","Dublin","€400,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"06/01/2015","26 RIDGEWOOD SQ, FOREST RD, SWORDS","","Dublin","€205,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"06/01/2015","27 CLYBAUN COURT, CLYBAUN RD, KNOCKNACARRA","","Galway","€220,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"06/01/2015","27 NORBITON HILL, RAHEEN, LIMERICK","","Limerick","€200,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"06/01/2015","3 BEACH ROAD, PASSAGE WEST, CO.CORK","","Cork","€42,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"06/01/2015","3 CROCK NA MURLEOG, DOWNINGS, DONEGAL","","Donegal","€180,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"06/01/2015","3 CUIL FEARNA, MULLINARY, CARRICKMACROSS","","Monaghan","€72,500.00","No","No","Second-Hand Dwelling house /Apartment",""
"06/01/2015","3 HOLLYVILLE COURT, FRANCIS ST, WEXFORD","","Wexford","€70,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"06/01/2015","3 JAMES ST, MITCHELSTOWN, CORK","","Cork","€107,500.00","No","No","Second-Hand Dwelling house /Apartment",""
"06/01/2015","3 Knockeven Avenue, Rushbrooke, Cóbh","","Cork","€246,696.00","No","Yes","New Dwelling house /Apartment","greater than 125 sq metres"
"06/01/2015","3 WILLIAM O'BRIEN TERRACE, BARRACK STREET, KINSALE","","Cork","€141,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"06/01/2015","32 THE CHANDLER, ARRAN QUAY, DUBLIN 7","Dublin 7","Dublin","€100,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"06/01/2015","38 FERNWOOD CRESCENT, LEHANEBEG, TOGHER","","Cork","€225,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"06/01/2015","39 GLEANN NOININ, COLLEGE RD, GALWAY","","Galway","€140,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"06/01/2015","4 Belleek Manor, Ballina","","Mayo","€269,164.00","No","Yes","New Dwelling house /Apartment","greater than or equal to 38 sq metres and less than 125 sq metres"
"06/01/2015","4 DAINGEAN RD, TULLAMORE, OFFALY","","Offaly","€187,500.00","No","No","Second-Hand Dwelling house /Apartment",""
"06/01/2015","40 ADAIR, SANDYMOUNT AVE, DUBLIN 4","Dublin 4","Dublin","€335,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"06/01/2015","44 CROYDON GREEN, MARINO, DUBLIN 3","Dublin 3","Dublin","€365,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"06/01/2015","44 MOUNT PLEASANT SQUARE, RANELAGH, DUBLIN 6","","Dublin","€1,045,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"06/01/2015","5 Railway Gardens, Station Road, Lismore","","Waterford","€145,000.00","No","Yes","New Dwelling house /Apartment","greater than or equal to 38 sq metres and less than 125 sq metres"
"06/01/2015","5 Seachnall Abbey, Dunshaughlin","","Meath","€330,396.00","No","Yes","New Dwelling house /Apartment","greater than or equal to 38 sq metres and less than 125 sq metres"
"06/01/2015","511 VANTAGE EAST, CENTRAL PARK, LEOPARDSTOWN DUBLIN 18","Dublin 18","Dublin","€340,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"06/01/2015","53 ARRA VIEW, RATHNENEAKE, NEWCASTLEWEST","","Limerick","€130,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"06/01/2015","54 COLLEGE WOOD MANOR CLANE, KILDARE","","Kildare","€136,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"06/01/2015","6 CURRAGH HALL RD, TYRRELSTOWN, DUBLIN 15","Dublin 15","Dublin","€188,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"06/01/2015","6 Evergreen Close, Everygreen Street, Cork","","Cork","€145,374.44","No","Yes","New Dwelling house /Apartment","greater than or equal to 38 sq metres and less than 125 sq metres"
"06/01/2015","6 RIVERSIDE APTS, NEWBRIDGE ST, BIRR","","Offaly","€50,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"06/01/2015","6 Sli Leag Ard, Miltown Malbay","","Clare","€36,000.00","No","Yes","New Dwelling house /Apartment","greater than or equal to 38 sq metres and less than 125 sq metres"
"06/01/2015","60A DOUGLAS ST, CORK, CORK","","Cork","€220,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"06/01/2015","62 GRANGE VILLAGE, MULLINGAR, WESTMEATH","","Westmeath","€40,000.00","Yes","No","Second-Hand Dwelling house /Apartment",""
"06/01/2015","67 GALLOWS HILL, ENNIS, CLARE","","Clare","€105,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"06/01/2015","69 ARDSHANAVOOLY, KILLARNEY, KERRY","","Kerry","€125,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"06/01/2015","6A Church Street, Finglas, Dublin 11","Dublin 11","Dublin","€160,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"06/01/2015","7 PLUNKETT TERRACE, COBH, CORK","","Cork","€50,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"06/01/2015","7 Sli Leag Ard, Miltown Malbay","","Clare","€36,000.00","No","Yes","New Dwelling house /Apartment","greater than or equal to 38 sq metres and less than 125 sq metres"
"06/01/2015","73 MEADOWBANK, BAILE NA NOEBE, CORK RD","","Waterford","€80,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"06/01/2015","75  THE HAWTHORNS, CARRAROE, SLIGO","","Sligo","€153,692.00","No","Yes","New Dwelling house /Apartment","greater than or equal to 38 sq metres and less than 125 sq metres"
"06/01/2015","8 LAMBAY, LAMBAY, KILBRIDE","","Meath","€273,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"06/01/2015","8 Sli Leag Ard, Miltown Malbay","","Clare","€36,000.00","No","Yes","New Dwelling house /Apartment","greater than or equal to 38 sq metres and less than 125 sq metres"
"06/01/2015","84 ST JOHNS WOOD, CLONDALKIN, DUBLIN 22","Dublin 22","Dublin","€240,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"06/01/2015","9 0BRIENS PLACE, DRUMCONDRA, DUBLIN 9","Dublin 9","Dublin","€260,000.00","No","No","Second-Hand Dwelling house /Apartment",""
